raining,251
hats,784
yellow,13
four,12
straws,1089
woods,380
asian,381
railing,256
one hundred and fifty-four,890
trolley,1090
snowing,344
swan,551
bike,235
wreath,1091
blanket,458
vase,150
fireplace,332
school,1092
parrot,517
wooden,238
clothes,648
bicycle,76
quilt,891
tired,703
phones,1093
feathers,785
horn,1094
tires,597
rusty,1095
street,362
cactus,892
panda,333
blue,7
cooking,893
hazy,320
lampshade,1096
lights,195
net,231
sinks,704
pancakes,894
bookcase,598
china,705
path,487
cardboard,182
dry,1097
luggage,434
leaves,224
smoke,240
straw,260
infield,1099
seven,52
geico,1100
pyramid,658
plow,1102
scaffolding,786
alligator,706
wintertime,1103
arms,787
calm,382
calf,707
"thirty-one thousand, one hundred and ninety-three",1104
warm,518
adult,788
shoot,1105
bartender,1106
twenty-one,1107
roof,488
foliage,334
plunger,895
"five thousand, six hundred and nineteen",1108
dolphin,1109
hexagons,649
honey,1110
hog,1111
mouse,158
nuts,650
hot,789
boats,345
gate,312
beach,435
pizza,28
ladder,552
mesh,708
nine hundred and twenty-two,1112
cell phone,81
arch,313
owls,1113
green,8
jungle,1114
ambulance,599
plumbing,1115
wing,896
wine,436
aeroplane,798
deck,709
muffin,897
oven,63
keyboard,104
windshield,289
plantains,1116
backpack,127
avocado,898
coffee,600
plaster,710
caterpillar,899
giraffe,34
silver,32
bank,900
bread,227
shadows,349
meat,459
potatoes,416
l,901
rocks,141
crops,1117
arrow,460
crosswalk,858
trash can,902
bone,553
logs,299
sled,903
magnets,601
logo,904
rv,554
velvet,905
forty,906
surprise,1118
barrier,651
rail,363
grapes,907
shrubbery,417
shelves,461
twenty-two,908
gazelle,711
lettuce,489
fire truck,462
scissors,290
toy,1040
fence,97
legs,652
dogs,418
curtains,215
bacon,790
cereal,791
tree,90
french fries,910
shower,405
iron,209
bridge,300
donkey,653
palace,1119
giraffes,180
modern,1015
talking,147
shrubs,269
seven hundred,1120
person,59
bleachers,490
snow,199
metallic,1121
chest,1122
doors,438
circles,192
zebras,179
object,654
polar bear,383
metal,45
dog,27
pineapple,1123
pointy,655
flagstone,1124
radio,1125
icicles,1126
earth,1127
recliner,1128
sharks,911
menu,792
sugar,793
bush,204
disgust,1129
rice,350
rectangle,110
plate,291
tiles,139
sunglasses,463
railings,912
watch,913
forty-nine,1130
pocket,712
tiled,1131
pallets,1132
wedding,914
beads,794
bar,795
bag,384
ears,713
fair,236
cattle,519
noodles,1133
pebbles,915
sail,1134
mud,656
mug,419
finger,714
claws,1135
lotion,1136
toothbrush,602
wear,916
convertible,1137
kitchen,42
cow,56
"five thousand, one hundred and forty-three",1138
protection,1139
faces,1140
twenty-three,1141
towels,520
blonde,796
grazing,91
headlights,212
bathroom,60
chrome,292
three,9
beer,521
basil,1142
containers,1143
sunshine,555
worker,1144
lift,1145
coffee table,1146
child,522
teapot,715
tank,657
cracker,1147
n,917
lizard,797
ski lift,1098
twenty-four,918
cylinder,523
cane,1101
handrail,1148
sticker,1149
sushi,491
player,603
tissue,1150
cone,351
five hundred and fifty-one,1151
octogon,799
bottles,420
radiator,604
toaster,226
vegetable,605
plates,439
bunny,716
wheel,464
moose,800
firepit,1152
rain,184
hand,385
waterfall,919
garlic,801
soccer ball,717
kia,1153
cycle,1154
butter,802
ocean,216
hearts,352
jean,803
plaque,1155
left,606
snowman,804
photo,1156
laptop,49
sleepy,805
one hundred and seventy-five thousand and three,1157
yes,1
one thousand and sixty,1158
hills,241
hay,317
board,556
basketball,909
hat,607
turquoise,1159
boxes,465
background,406
shadow,257
cooler,920
pavement,262
busses,1160
steps,492
signal,1161
antique,1162
birthday cake,1224
right,806
crowd,608
people,206
sponge,807
playing soccer,921
billboard,718
okra,1163
purple,66
fox,922
microwave,113
rhino,659
fog,719
skateboarder,923
christmas,242
cord,467
corn,524
scarves,1164
post,386
trophy,1165
benches,440
newspapers,1166
obb,525
dinner,1194
octopus,441
pineapples,924
fern,1167
stop,634
sedan,1057
magazines,808
fabric,270
tennis,19
sunlight,925
steamrail,926
teddybear,1168
fork,116
head,609
snowy,243
ford,809
cylinders,1169
eat it,1170
trash,623
passenger,1171
sticks,468
umpire,223
curious,981
muffins,928
ship,557
triangles,271
floor,407
tin,387
headboards,1184
tie,364
evergreen,610
greenery,442
handicap,810
felt,661
one hundred and forty-one,1173
pizzas,1174
glass,84
beds,989
peacock,558
chain,527
skis,265
silverware,469
mild,930
skiing,24
trashcan,931
chair,26
rectangles,274
milk,720
crates,721
bicycles,280
tusk,811
brown,11
octagonal,346
icing,1175
spools,1176
none,840
tacos,933
gloomy,421
kitten,353
cook,934
cool,559
clouds,237
tricycle,935
gun,1312
cloudy,99
p,936
subway,1177
steeple,1178
sidewalk,188
round,61
sign,176
shirts,937
chicken,354
drinks,1179
candle,690
wildebeest,1180
uniform,1181
tarmac,722
gazebo,938
ninety-nine,1182
water,119
baseball,20
chainlink,1183
frosting,939
box,335
boy,365
pearls,940
bow,723
nylon,688
pillow,301
love,812
snowboard,266
lamppost,724
playing wii,220
pony,725
buttons,470
projector,1185
wicker,232
angry,611
handles,813
entrance,1186
conductor,941
countertop,942
towers,814
chocolate,528
downtown,1187
car,29
cap,943
cat,25
soup,366
can,944
cab,1188
pickle,726
overpass,945
grassy,1189
stream,1190
mirrors,612
confused,1191
drawer,815
clothing,1192
pink,35
winter,77
sailboat,1193
magazine,660
pine,388
forty-one,1195
elephant,38
tile,101
divider,1196
map,946
laundry,1197
mat,493
staircase,663
ponies,947
toilet paper,948
vases,1198
scalloped,1199
tablecloth,1200
man,168
surfing,22
branches,304
neck,1201
candles,727
wheelchair,816
truck,48
basket,258
shoes,443
pointed,529
cold,175
birds,213
cola,1202
ovals,949
police,664
monitor,321
curly,1203
bagels,817
buns,1204
platform,336
window,131
gatorade,1205
swans,1206
apron,1207
lunch,1208
tails,950
cheetah,818
ketchup,665
wagon,728
arrows,951
rock,172
turtle,729
square,85
elephants,167
receipt,952
goose,613
catching,819
zebra,51
et,1209
girl,422
canvas,530
container,730
squared,953
squares,214
eagle,444
"five thousand, seven hundred and eighteen",1210
cars,228
cart,531
vinyl,1211
care,1212
headphones,560
ostrich,423
butterflies,731
pepperoni,732
first,561
blind,1213
cheese,367
one,4
ring,1214
sheep,67
city,445
sheer,1215
plastic,111
white,5
frame,776
eyes,1216
wax,820
tombstones,955
copp,1217
flowers,171
ceramics,956
television,302
oats,1218
knives,733
apples,389
fruits,562
cards,1219
happy,157
drywall,957
tractor,471
alley,1220
sad,267
"one thousand, nine hundred and eight",1221
pastry,666
anger,821
breakfast,614
speakers,734
equipment,958
two thousand and twelve,1222
payloader,1223
butterfly,466
pain,959
track,822
cheesecake,823
armrest,1225
pencils,1226
lawn,927
cloth,328
seafood,667
napkin,424
hungry,1228
sunset,824
salt,825
slope,960
walking,71
windshields,961
fifty,1229
shoe,962
rounded,454
crane,615
ground,368
stormy,446
wood,18
black,6
walgreens,1230
parabolic,1231
blinds,294
wool,447
plums,1232
pumpkin,1233
hippo,1234
suitcases,616
outlet,964
"four thousand, two hundred and sixty-eight",1235
aluminum,283
leather,125
yield,1236
penguins,668
bison,1237
tent,369
picnic,1238
seat,826
checkered,1239
calendar,827
glaze,1240
skyscraper,669
diamonds,322
surfboards,390
living room,43
screen,448
dome,425
guitar,670
tub,563
kicking,1443
s,1242
mane,965
wheels,966
bricks,89
armchair,967
pot,617
jeans,532
pole,207
boat,58
turkey,828
olives,735
toothpaste,968
helicopter,618
cords,619
ravioli,1245
engine,426
graveyard,1246
squash,1247
tiger,355
stovetop,1248
foggy,284
case,1249
soccer,109
twigs,736
newspaper,494
shops,1250
person's,1251
aluminium,969
canoe,970
soil,737
purse,971
telephone,738
sleeping,102
clutter,1252
ferns,671
waterway,1253
bags,746
paw,972
bowl,114
playing baseball,427
coconuts,973
pan,974
oil,1254
commode,975
foam,472
seagulls,976
persons,1255
running,123
fruit,201
advertisement,536
hummingbird,977
drain,978
charger,1256
no,2
hedge,672
hot dogs,739
trains,673
taxi,495
summer,124
outdoor,15
neon,1258
satin,829
kneeling,1259
boulder,868
half-circle,1260
shingles,564
pile,1261
headboard,285
papers,526
fridge,496
stools,1262
traffic,621
lady,622
furniture,979
towel,449
streamers,674
lightning,1263
shutter,1264
audience,1265
toilet brush,1266
nose,450
clay,210
tower,305
twelve,118
seating,1267
apartments,830
pacific,1268
lobster,1269
pickles,980
tube,982
moon,1270
forks,831
linoleum,473
knife,103
business,1271
kleenex,1272
sixty,1273
throw,1274
stone,94
central,1275
jeep,497
shrimp,428
wolf,832
ox,833
road,263
moped,675
racquet,740
log,293
area,983
bristles,984
sloped,1276
cats,408
lot,1277
kittens,1278
pitcher,1279
tripod,1280
cabinet,533
bowls,985
walkway,565
mice,986
corduroy,834
eiffel tower,1384
bucket,498
christmas tree,1281
dirty,1282
netting,1283
suitcase,152
grass,95
rust,987
toilet,153
deer,534
cream,988
one hundred and one,929
cabinets,326
antenna,835
rubber,254
field,357
puppy,662
pillows,338
shelter,990
podium,1284
burlap,1285
brass,391
pool,836
building,112
laptops,741
remote,106
curve,1286
vines,1287
curvy,1288
wake,499
lace,474
chinese,306
ceramic,193
dish,837
children,1289
carpet,196
apartment,1290
tv,40
tail,370
smile,992
roadway,993
woman,202
sitting,82
fan,566
fall,146
cable,838
large,994
dinosaur,567
sand,156
mammal,429
locomotive,1291
neoprene,1292
cookies,839
ten,88
burger,995
zero,62
design,1293
contrails,1294
clock,194
sun,358
stool,676
suv,275
diapers,1295
tracks,252
cylindrical,451
trunk,327
pleasant,1296
drawers,742
airport,392
adidas,1297
buses,743
vest,1298
toys,677
donuts,190
two,3
horses,200
flat,996
diamond,170
door,191
propellers,452
dishwasher,569
flag,314
stick,744
lemons,625
town,1299
grill,745
fleece,932
nine,79
v,841
seagull,453
male,339
marble,155
shark,678
woman's,1300
hamburger,842
bidet,843
autumn,229
sphere,1301
numbers,500
cows,164
pond,1302
airplane,46
hamburgers,1303
string,1304
goal,844
goat,307
plant,248
sandwich,68
helmet,620
headrest,1305
plane,197
waves,261
a,997
coat,1306
dragon,679
chopsticks,680
egg,747
patio,1307
mexican,963
handlebars,681
artwork,845
paper,165
dough,535
signs,371
smiling,748
pens,1308
mattress,1309
squids,1243
sauce,749
food,295
cupcake,998
walls,568
weeds,359
foot,999
hotdogs,682
stopper,1310
cobblestones,683
trailer,393
lantern,1311
house,181
fish,272
wires,296
backpacks,1313
flower,501
tennis ball,1314
pigeon,846
dugout,1315
forty-one thousand and ninety-six,1316
fountain,1000
hill,233
brewers,1317
dirt,120
driver,847
porcelain,159
cockpit,848
houses,239
base,1318
cookie,1319
hydrant,475
bushes,148
faucet,624
computers,1001
fifty-four,1002
american,1003
canister,1320
w,1321
bumper,570
snowboarding,86
castle,1004
copper,684
statue,356
doughnuts,308
number,849
cups,750
horse,37
jet,502
automobile,685
rails,626
stork,1322
paint,686
leash,1323
station,1324
banana,75
store,627
drapes,1005
hotel,1325
park,850
boredom,1326
stairs,234
surfboard,162
b,1327
grey,30
dispenser,1328
crescent,1329
skyscrapers,851
coleslaw,1330
juice,1331
graffiti,315
one hundred and twenty-five,1006
lid,1007
mountain,186
koala,852
dancing,264
couch,53
sandwiches,340
knobs,1332
zucchini,1333
bottle,135
eggs,476
cigarette,1334
storefronts,1008
moss,1009
nothing,687
refrigerator,74
windows,169
clear,126
reflections,1335
barrel,853
stones,198
loveseat,1336
asphalt,138
dirt bike,1337
hillside,1010
cds,1338
chain link,1011
nervous,854
scooter,455
circle,92
porcupine,855
triangle,129
sunny,69
trees,50
silk,628
banner,629
chimney,751
forty-five,1049
catcher,217
motorcycles,309
gloves,1340
x,503
river,360
archways,1341
bars,571
stump,1012
tarps,1342
lion,372
bare,1343
sea,1344
portrait,1345
arm,572
barn,573
pictures,409
fans,857
plywood,752
propellor,856
mailbox,753
spray,754
zipper,1346
bronze,574
restaurant,1013
baseball bat,341
archway,859
pavers,1347
cinderblocks,1348
eggplant,1349
cakes,1014
point,1350
forklift,1351
village,1352
goats,410
lizards,1353
brick,72
twenty-eight,1354
ram,437
squirrel,630
fire,755
plants,211
fur,504
straight,1355
twenty,1356
rope,347
tow truck,1016
cages,860
lava lamp,1357
ducks,477
decoration,1358
nightstand,1359
hair drier,575
shirt,576
windmill,1360
cement,117
stripe,861
sandals,1017
spices,1244
chickens,1018
concrete,83
flags,478
hotdog,577
eyeglasses,1019
tables,538
cut,1361
cup,98
stainless steel,505
advertisements,1020
pillars,862
kites,1362
excited,578
surprised,689
bin,1363
emergency,1021
skateboards,1364
potted plant,145
pillar,756
glove,757
baseball glove,281
forty-four,1022
bamboo,318
cones,539
spring,187
phone,430
marker,1365
palm,323
clown,1457
mirror,183
cork board,1172
electric,1366
scale,1367
pen,758
eating,64
bookshelves,1368
"nine thousand, six hundred and eighty-one",1369
rug,249
step,759
whiteboard,691
mcdonald's,1370
oatmeal,1024
beans,760
renfe,1025
block,631
garbage,761
pentagon,1026
canal,1371
doll,1372
bored,579
mountains,144
poster,692
relaxed,1373
boys,1227
line,693
dull,1374
shutters,1375
penguin,580
skull,762
fries,394
planes,1376
wine glass,163
national express,1377
geese,763
playing frisbee,310
m,1027
curb,764
home,863
cafe,1028
cotton,373
rainbow,1029
rainy,140
lemon,1378
polygon,1379
peach,1380
tarp,1030
nice,1031
metal?,1381
spectators,540
mustard,1382
cobblestone,276
posters,765
desert,1032
structure,694
land,632
e,1383
vehicles,456
parking meter,329
berries,1033
buffalo,695
stroller,991
cheetos,1385
desserts,766
windy,395
gold,100
shack,1386
gravel,189
fences,1034
garden,1387
dessert,282
wave,230
spoon,142
llama,1388
drinking,160
legos,396
snowboards,1389
rack,864
spaghetti,767
sausage,865
cupcakes,866
paintings,1035
pipes,1036
man's,1037
clipboard,1390
poles,541
blender,1391
bird,55
slabs,1038
toast,542
leg,1392
kangaroo,506
focused,867
sink,96
fifteen,297
cyclist,1393
sports ball,397
hexagon,374
twenty-six,1039
shovel,1394
apple,115
heart,177
thirty-one,1395
baskets,1396
motor,1397
duck,286
oval,143
cloud,507
standing,73
frog,581
eleven,105
camera,543
crab,1398
vehicle,330
pencil,1041
trail,582
train,31
rabbit,479
baby,1399
women,1400
crosses,1401
animals,633
arched,287
salad,247
tunnel,1042
donut,78
arches,508
napkins,509
parquet,1402
wedge,1257
picture,337
tar,768
semi-circle,1403
carrot,107
tan,57
onions,869
hangar,1404
lamb,480
six,33
lamp,259
forest,375
animal,769
circular,161
buildings,136
blocks,870
db,537
wallpaper,583
notebook,1043
faucets,1044
ties,871
tomato,1045
light,253
counter,635
cutlery,1405
linen,1406
bakery,1407
minivan,584
swimming,154
antelope,770
meter,1046
motorcycle,54
horns,1047
broom,1048
orange,23
silo,1339
parabola,1408
flour,771
material,1409
bat,544
oranges,324
dock,1050
snake,1410
hands,545
cage,872
footstool,1411
tram,1412
slide,1413
blacktop,1051
thirty-eight,1414
tray,1415
glasses,311
tents,510
globe,873
books,245
thirteen,137
hippopotamus,1417
hedges,431
valve,1418
playground,1052
red,10
oblong,481
umbrella,185
fourteen,149
dumpster,874
crockpot,1419
yard,1420
skateboard,218
yarn,636
chilly,1053
barriers,1421
motorbikes,875
seventy-six,1422
tennis racket,133
umbrellas,546
lacoste,1423
monkey,298
bears,342
pots,1424
beard,1054
shell,876
stars,316
shorts,877
shelf,361
school bus,1425
manhole,1426
steel,174
bed,41
sculpture,1055
carrots,411
curved,255
microphone,398
sprinkles,1427
dishes,1428
cranes,772
waffles,878
bagel,1429
soap,1430
vegetation,376
camper,1056
visa,1431
eight,65
handbag,122
evergreens,1432
hot dog,87
doesnotapply,0
upset,1433
face,637
pipe,511
construction,1471
painting,432
teddy bear,151
feline,696
kite,250
stove,457
indoor,14
crate,1058
bikes,412
ottoman,482
fear,1059
shield,1434
mugs,1435
planter,880
tire,399
jar,773
terminal,1060
tape,774
playing tennis,219
piano,1061
cube,1436
handle,638
watching,697
stripes,413
bear,70
beak,585
striped,775
chips,698
styrofoam,377
gray,17
trucks,1062
mercedes,1437
hardwood,273
appliance,1438
puddle,954
computer,547
slanted,1063
driveway,1439
skateboarding,36
racket,483
wire,178
purses,1064
frustrated,1440
pants,1065
astroturf,1066
cauliflower,1441
joy,639
buckets,1442
one thousand and fifty-eight,1241
stucco,640
ramp,512
boulders,484
rams,1067
doorway,485
canopy,1068
vent,1069
statues,1070
wall,108
denim,225
cf,1444
cd,1445
oregano,1446
table,166
motorbike,378
traffic light,414
reindeer,1071
chalkboard,1072
curtain,222
airplanes,881
sausages,1447
bull,325
smoking,1448
plaid,586
runway,1073
rectangular,130
chalk,1074
bathtub,513
rooster,587
conical,1075
balloon,1076
headlight,319
cross,400
apricots,1449
speaker,588
shuttle,1077
hippos,1450
tomatoes,379
suede,882
ball,343
drink,777
octagon,128
dust,1078
whale,1079
broccoli,80
octagons,883
reflection,699
records,1451
overcast,132
fighting,1452
spectator,1453
awning,778
drawing,1080
spherical,1081
two hundred and forty-two,1454
stores,1455
bananas,244
camel,641
batteries,1082
clocks,884
seats,779
fire hydrant,221
happiness,268
bell,780
sky,173
lake,401
bench,121
wet,642
jars,589
balloons,885
knob,1456
ledge,1476
five,21
desk,277
propeller,303
doughnut,643
pier,548
flamingo,886
chairs,288
sofa,402
candy,1023
garage,887
italian,590
shed,644
scared,591
church,433
hair,645
flush,1458
flying kites,278
leaf,549
shrub,592
dunes,1459
kettle,1460
chains,1083
pepper,781
hose,1461
lighthouse,782
telling time,1462
pasta,515
slug,1463
boards,1084
saddle,1464
column,783
seeds,1465
beige,93
puppies,1466
pastries,646
owl,516
letters,593
stop sign,331
tag,700
mushrooms,594
trunks,1467
brush,415
female,403
birdhouse,1468
van,203
elastic,1469
stainless,888
vegetables,246
spiral,486
semicircle,1470
ivory,701
bus,47
triangular,279
strawberries,879
bookshelf,404
eat,1085
dining table,16
carriage,1086
partly cloudy,1416
monument,1472
cake,44
trapezoid,1473
thirty-nine,1474
pie,889
pig,348
utensils,647
balcony,550
fencing,595
oak,1475
book,134
branch,514
granite,205
dresser,596
junk,1477
frisbee,39
star,208
footprints,1478
outlets,1479
foil,702
cliff,1087
samsung,1088
enclosure,1480
forty nine,1481
united,1482
muffler,1483
